2011,Jan,26,5
2013,Mar,24,12
2015,May,27,1
2015,Mar,61,1
2014,Aug,12,166
2014,Jul,44,2
2012,Sep,43,38
2012,Jun,43,32
2012,Nov,11,48
2015,Apr,25,8
2012,Jul,32,39
2012,Nov,13,11
2011,Oct,15,14
2011,Apr,14,15
2013,Jun,25,12
2015,Jan,26,4
2015,Sep,23,3
2015,Jun,28,2
2014,Mar,13,10
2014,Aug,52,1
2011,Sep,13,11
2013,Nov,62,1
2015,Oct,31,2
2014,Apr,15,6
2012,Jun,32,41
2011,Apr,11,40
2011,May,33,33
2011,Sep,24,19
2011,Jul,51,1
2014,Jul,61,1
2012,Jan,12,159
2012,Mar,26,6
2012,Sep,23,4
2011,Feb,24,6
2011,Dec,15,5
2013,Nov,14,8
2015,Dec,26,3
2015,Apr,23,4
2014,Aug,15,7
2014,Sep,24,28
2011,Mar,52,3
2013,Apr,26,3
2013,Apr,24,17
2013,Dec,11,42
2014,Nov,32,17
2012,Mar,52,5
2011,Jun,51,1
2013,Feb,32,24
2013,Jun,21,59
2013,Jun,44,5
2013,Sep,16,1
2013,Jul,72,2
2015,Dec,51,1
2014,Jul,24,14
2014,Oct,71,5
2014,May,24,6
2012,Dec,25,6
2013,Feb,43,18
2014,Dec,12,119
2014,Jun,32,27
2012,Nov,52,6
2011,Nov,11,38
2011,May,14,13
2011,May,45,3
2013,Oct,43,32
2015,Mar,25,8
2015,Dec,22,6
2014,May,32,35
2014,Oct,72,2
2015,Aug,25,11
2015,Sep,41,51
2015,Jul,81,1
2014,Feb,71,2
2012,Aug,21,66
2011,Apr,51,2
2015,Oct,13,12
2015,Aug,71,8
2015,Oct,28,1
2015,Nov,28,1
2011,Mar,12,184
2013,Sep,32,28
2015,Jan,31,1
2014,Dec,11,56
2014,Apr,26,2
2014,Feb,15,6
2014,Oct,22,3
2011,Mar,21,58
2011,Jan,45,2
2015,Apr,27,1
2015,Jan,13,12
2014,Oct,14,10
2012,Oct,26,2
2011,Apr,33,31
2013,Jan,41,47
2015,Jun,41,82
2015,Aug,32,29
2013,Dec,42,12
2015,Apr,41,47
2015,May,81,2
2015,May,84,2
2015,Jul,62,2
2012,Jul,21,84
2013,Jan,51,1
2015,Feb,52,2
2015,Jun,21,48
2015,Mar,42,12
2014,May,62,3
2014,Sep,22,2
2014,Sep,23,1
2011,May,42,13
2011,Apr,25,21
2013,Jul,24,15
2013,Aug,23,1
2015,Dec,45,1
2014,May,43,22
2014,Feb,24,7
2014,Feb,51,2
2012,Oct,22,6
2012,Apr,51,2
2011,Sep,33,21
2011,Dec,42,10
2011,Jan,51,2
2011,Jun,15,13
2013,Feb,51,3
2015,Jan,14,7
2014,Jun,22,7
2012,Nov,24,17
2012,Oct,12,164
2012,Sep,25,6
2011,Feb,52,1
2013,Feb,52,4
2015,Apr,15,9
2011,Jan,33,23
2011,Dec,32,42
2014,Dec,14,7
2012,Jun,33,20
2011,Dec,33,18
2011,May,22,6
2013,Dec,27,2
2015,Jan,41,49
2015,Aug,15,10
2015,Jun,25,11
2015,Dec,15,7
2015,Aug,81,2
2014,Dec,41,32
2014,Aug,26,5
2012,May,45,2
2013,Aug,71,2
2014,Jun,23,1
2012,Jun,52,2
2015,Jan,21,50
2014,Mar,33,20
2012,Aug,24,15
2012,Jul,25,10
2011,Jul,42,12
2013,Oct,26,1
2015,Nov,26,4
2015,Jun,23,3
2014,Feb,21,32
2012,Aug,72,1
2013,Aug,41,81
2013,Jul,21,39
2014,Nov,15,6
2012,Apr,15,9
2012,Aug,52,3
2011,May,43,21
2011,Nov,33,25
2015,Feb,21,43
2015,Aug,33,17
2014,Apr,14,9
2014,Jun,12,140
2014,Jun,43,39
2012,Aug,13,8
2011,May,15,10
2011,Feb,26,5
2011,Dec,26,6
2013,Sep,42,14
2013,Mar,21,51
2013,Nov,21,64
2015,Jul,11,72
2012,Sep,11,65
2012,Aug,33,34
2013,Mar,44,3
2014,Oct,43,23
2011,Sep,27,1
2013,Aug,27,2
2015,Dec,21,67
2015,Oct,72,4
2015,May,31,2
2014,Dec,25,4
2012,Feb,12,171
2012,Nov,21,58
2011,Oct,33,27
2011,Dec,44,1
2013,Jan,21,49
2013,Dec,43,24
2013,Jul,52,8
2015,Mar,24,12
2015,Jun,61,1
2014,Dec,44,2
2012,Dec,12,110
2011,Jun,25,11
2011,Jun,14,14
2011,Feb,13,4
2013,Nov,51,1
2013,Jan,23,1
2015,Dec,12,104
2015,Feb,45,1
2014,Feb,22,7
2014,Jul,43,18
2012,Nov,25,9
2012,Oct,14,7
2012,Nov,43,31
2011,Jul,22,7
2011,Nov,27,1
2013,Nov,15,9
2013,Oct,42,14
2015,Jan,15,11
2014,Mar,42,7
2012,Apr,45,2
2012,Jul,26,2
2013,Jun,23,5
2015,Feb,33,17
2015,Jul,43,30
2015,Jul,15,7
2015,Jul,28,1
2014,Nov,71,2
2014,Oct,51,1
2012,Nov,44,3
2012,Jun,51,4
2015,Aug,44,2
2015,Apr,13,6
2015,Aug,28,2
2014,Sep,21,51
2014,Oct,26,4
2011,Aug,33,27
2011,Sep,22,3
2015,Oct,42,5
2015,Sep,82,1
