Murder/non-neg manslaughter,Highway/road/alley,5
Theft from building,Department store,2
Theft of mv parts,Other/unknown,5
Agg asslt,Highway/road/alley,1132
Intimidation,Grocery/supermarket,75
Destruct/vandalism,Bar,24
Agg asslt,Amusement park,1
Prostitution,Office building,1
Simple asslt,Military installation,1
False pretenses/swindle/conf game,Department store,3
Destruct/vandalism,Govt/public building,157
Intimidation,School--college/university,116
Destruct/vandalism,Jail/prison,7
Arson,School/college,5
Theft from motor vehicle,Govt/public building,1
Simple asslt,Arena/stadium/fairgrounds/coliseum,4
Purse-snatching,Restaurant,1
Simple asslt,Parking lot/garage,414
Intimidation,Bank,23
Drug equip violations,Other/unknown,5
Arson,Convenience store,1
Intimidation,Department store,69
Shoplifting,Specialty store,15
Simple asslt,Drug store/dr office/hosp,67
Motor vehicle theft,Bank,2
Simple asslt,Shelter--mission/homeless,10
Intimidation,Arena/stadium/fairgrounds/coliseum,2
Intimidation,Other/unknown,516
Theft from motor vehicle,Industrial site,1
All other larceny,Farm facility,1
Fondling (Indecent Liberties/Child Molesting),Field/woods,1
Intimidation,Daycare facility,3
Stolen property offenses,Residence/home,7
Destruct/vandalism,Convenience store,45
False pretenses/swindle/conf game,Restaurant,3
Fondling (Indecent Liberties/Child Molesting),Govt/public building,1
Murder/non-neg manslaughter,School/college,1
All other larceny,Parking lot/garage,28
Agg asslt,Parking lot/garage,255
Drug equip violations,Bar,1
All other larceny,Office building,19
Theft from motor vehicle,Residence/home,67
Destruct/vandalism,Grocery/supermarket,27
Robbery,Field/woods,15
Theft from motor vehicle,Rental store,1
Embezzlement,Convenience store,1
Theft from building,Rental store,1
Theft from coin-op machine,Hotel/motel,1
Destruct/vandalism,Highway/road/alley,906
Robbery,Restaurant,5
Intimidation,Farm facility,1
Agg asslt,Other/unknown,233
Intimidation,Terminal,79
Destruct/vandalism,Park/playground,126
Theft from coin-op machine,Residence/home,2
Embezzlement,Drug store/dr office/hosp,2
Drug/Narc violations,Field/woods,8
Burg/B & E,Highway/road/alley,5
Counterfeit/forgery,School/college,1
All other larceny,Grocery/supermarket,11
Theft from building,School--college/university,1
Theft from building,Drug store/dr office/hosp,2
Simple asslt,Bar,293
Destruct/vandalism,School--elementary/secondary,273
Simple asslt,Shopping mall,22
Theft from building,Grocery/supermarket,5
Murder/non-neg manslaughter,Field/woods,1
Theft of mv parts,Residence/home,12
False pretenses/swindle/conf game,Drug store/dr office/hosp,1
Burg/B & E,School--college/university,25
Drug/Narc violations,Other/unknown,10
Theft from motor vehicle,Shopping mall,1
Fondling (Indecent Liberties/Child Molesting),School--elementary/secondary,5
Robbery,Convenience store,10
Shoplifting,Service/gas station,5
Drug/Narc violations,Service/gas station,4
Sex asslt w/object,Govt/public building,1
False pretenses/swindle/conf game,Bank,2
Burg/B & E,Liquor store,3
Drug equip violations,School--elementary/secondary,1
Arson,Department store,1
Destruct/vandalism,School/college,588
Counterfeit/forgery,Bank,5
Rape,School--college/university,3
Theft from building,Church/Synagogue/Temple,2
Burg/B & E,Construction site,5
Drug/Narc violations,Restaurant,6
Arson,Liquor store,1
Agg asslt,Restaurant,64
Intimidation,Shopping mall,20
