Destruct/vandalism,Residence/home,VA,101
Drug/Narc violations,Residence/home,WI,2
Simple asslt,Jail/prison,KS,3
Fondling (Indecent Liberties/Child Molesting),Govt/public building,TN,1
Burg/B & E,Other/unknown,CA,1
Agg asslt,Arena/stadium/fairgrounds/coliseum,DC,1
Credit card/ATM fraud,Restaurant,KY,1
Agg asslt,Liquor store,MA,1
Robbery,Residence/home,MI,1
Burg/B & E,Specialty store,NM,1
Intimidation,Church/Synagogue/Temple,SD,1
Destruct/vandalism,Shelter--mission/homeless,WA,1
Weapon law violations,Hotel/motel,WI,1
Intimidation,Other/unknown,CA,51
Intimidation,Residence/home,CT,73
Theft from motor vehicle,Parking lot/garage,CT,2
Agg asslt,Other/unknown,MD,4
Destruct/vandalism,Highway/road/alley,MO,16
Credit card/ATM fraud,Hotel/motel,MS,1
Theft from motor vehicle,Highway/road/alley,NB,1
All other larceny,Parking lot/garage,TN,3
Simple asslt,Terminal,TN,6
Rape,Other/unknown,TN,1
Destruct/vandalism,Department store,TX,1
Simple asslt,Grocery/supermarket,WI,1
Simple asslt,Bar,WY,2
Destruct/vandalism,Other/unknown,DE,1
Agg asslt,Bar,MO,5
Destruct/vandalism,Office building,OR,3
Intimidation,Drug store/dr office/hosp,CA,8
Intimidation,Field/woods,PA,1
Simple asslt,Hotel/motel,SD,3
Robbery,Dock/wharf/freight/modal terminal,DC,1
Weapon law violations,Hotel/motel,MO,1
Drug/Narc violations,Highway/road/alley,TX,1
Simple asslt,Restaurant,AZ,7
Simple asslt,Shopping mall,CA,11
Intimidation,Highway/road/alley,ME,13
Shoplifting,Office building,MS,3
All other larceny,Convenience store,NH,1
Counterfeit/forgery,Bank,UT,1
Murder/non-neg manslaughter,Highway/road/alley,CA,3
Simple asslt,Highway/road/alley,NM,6
Simple asslt,Department store,NM,1
False pretenses/swindle/conf game,Restaurant,UT,1
False pretenses/swindle/conf game,Restaurant,SC,1
Theft from motor vehicle,Residence/home,MT,3
Theft from motor vehicle,Parking lot/garage,VA,1
Simple asslt,School--elementary/secondary,CT,2
Credit card/ATM fraud,Drug store/dr office/hosp,MI,1
Agg asslt,Parking lot/garage,NM,2
Intimidation,Drug store/dr office/hosp,NM,1
Agg asslt,Service/gas station,IL,3
Simple asslt,School--elementary/secondary,MI,45
Intimidation,Park/playground,MI,2
Intimidation,Drug store/dr office/hosp,NJ,61
Robbery,Residence/home,SC,2
Theft from motor vehicle,Residence/home,UT,1
Destruct/vandalism,Bar,CO,1
Simple asslt,Bar,IN,8
Simple asslt,Hotel/motel,IN,2
Simple asslt,Residence/home,NM,4
Simple asslt,School/college,NM,1
Simple asslt,Residence/home,RI,2
Simple asslt,Govt/public building,GA,2
Simple asslt,Department store,KS,2
Destruct/vandalism,School--elementary/secondary,NC,2
Intimidation,Restaurant,MI,15
Simple asslt,Terminal,MI,4
Destruct/vandalism,Residence/home,OH,168
Simple asslt,Parking lot/garage,TN,25
Drug/Narc violations,Highway/road/alley,WV,3
Burg/B & E,Residence/home,WV,11
Intimidation,Bank,CA,5
Burg/B & E,Restaurant,NC,1
Agg asslt,Residence/home,NH,1
Simple asslt,Terminal,WA,8
Weapon law violations,Specialty store,AZ,1
Destruct/vandalism,Office building,IA,1
Agg asslt,Office building,NC,1
All other larceny,Parking lot/garage,ID,1
Destruct/vandalism,School--college/university,NV,1
Fondling (Indecent Liberties/Child Molesting),Residence/home,MA,1
Shoplifting,Specialty store,VT,1
All other larceny,Convenience store,WV,1
Agg asslt,Bar,CA,29
