2012,Feb,Burg/B & E,7
2011,Jun,Burg/B & E,6
2015,Sep,Rape,1
2015,Mar,Credit card/ATM fraud,1
2015,Sep,Theft from building,2
2015,Jan,Drug equip violations,1
2014,Mar,Drug/Narc violations,3
2011,Jan,False pretenses/swindle/conf game,1
2015,Jul,Intimidation,140
2014,Sep,Burg/B & E,17
2014,Feb,Drug equip violations,1
2014,Dec,Wire fraud,1
2014,Dec,Stolen property offenses,1
2012,Aug,Simple asslt,104
2012,Feb,Counterfeit/forgery,1
2011,Feb,Destruct/vandalism,113
2011,Aug,All other larceny,10
2011,Mar,Fondling (Indecent Liberties/Child Molesting),1
2011,Oct,Embezzlement,1
2011,Sep,Theft of mv parts,1
2013,Dec,Burg/B & E,14
2013,Jan,Fondling (Indecent Liberties/Child Molesting),1
2012,Sep,Theft from motor vehicle,6
2011,Mar,Murder/non-neg manslaughter,2
2013,Aug,Extort/blackmail,1
2015,May,Agg asslt,72
2015,May,Theft from building,1
2015,Sep,Shoplifting,3
2015,Oct,Kidnapping/abduction,2
2014,Mar,Shoplifting,2
2012,May,Simple asslt,140
2013,Mar,Agg asslt,52
2015,Apr,Motor vehicle theft,1
2014,Mar,Robbery,7
2012,Dec,Drug/Narc violations,5
2012,Aug,Stolen property offenses,1
2014,May,Theft from motor vehicle,6
2014,Nov,Burg/B & E,11
2014,Jun,Rape,1
2013,May,Burg/B & E,16
2013,Mar,Extort/blackmail,1
2015,May,Shoplifting,2
2012,Jun,Robbery,11
2012,Feb,Weapon law violations,1
2012,Dec,False pretenses/swindle/conf game,1
2011,Mar,All other larceny,3
2013,Jun,Agg asslt,45
2013,Apr,Drug equip violations,2
2015,Jan,Destruct/vandalism,114
2014,Jul,Simple asslt,129
2014,Dec,Shoplifting,4
2014,Jul,Murder/non-neg manslaughter,1
2012,Feb,Theft from building,2
2014,May,Pornography/obscene material,1
2012,Jun,Motor vehicle theft,3
2011,Jul,Agg asslt,66
2011,Aug,Impersonation,1
2011,Aug,Motor vehicle theft,1
2013,Nov,Theft from motor vehicle,3
2015,Mar,Impersonation,5
2014,Mar,Murder/non-neg manslaughter,2
2014,May,Counterfeit/forgery,1
2013,Apr,Stolen property offenses,2
2015,Sep,Credit card/ATM fraud,1
2012,Mar,Agg asslt,62
2012,Apr,Arson,5
2012,Nov,Drug equip violations,2
2011,May,Arson,4
2011,Dec,Simple asslt,83
2011,Jun,Motor vehicle theft,2
2011,Oct,Stolen property offenses,1
2013,Jul,Destruct/vandalism,161
2014,Feb,False pretenses/swindle/conf game,1
2011,Jul,Destruct/vandalism,182
2011,Sep,Embezzlement,1
2011,Jun,Theft from building,3
2013,Apr,Rape,1
2013,Feb,Theft from building,3
2013,Sep,Murder/non-neg manslaughter,1
2015,Apr,Theft from motor vehicle,4
2012,Jul,False pretenses/swindle/conf game,1
2011,Nov,Arson,2
2013,Oct,Embezzlement,1
2015,Mar,Burg/B & E,10
2014,Oct,Destruct/vandalism,186
2014,Apr,Impersonation,2
2011,Jan,Kidnapping/abduction,1
2015,Mar,Fondling (Indecent Liberties/Child Molesting),1
2015,Feb,Impersonation,1
2015,Jan,Rape,1
2011,Aug,Destruct/vandalism,160
2011,Feb,Intimidation,121
2013,Nov,All other larceny,8
2013,May,Extort/blackmail,1
2013,Jan,Purse-snatching,1
2014,Sep,Simple asslt,108
2014,Mar,Theft of mv parts,1
2012,Jul,Impersonation,1
2013,Jul,Burg/B & E,16
2013,Jul,Shoplifting,2
2013,Aug,False pretenses/swindle/conf game,1
2014,Jun,Robbery,12
